Day,Tag,Time,Percentage
2020-12-12,Microsoft Edge,3:38:00,46.09
2020-12-12,Overwatch,2:05:00,26.43
2020-12-12,PyCharm,0:33:00,6.98
2020-12-12,Webstorm,0:29:00,6.13
2020-12-12,Command Prompt,0:19:00,4.02
2020-12-12,Windows Explorer,0:12:00,2.54
2020-12-12,Application Frame Host,0:06:00,1.27
2020-12-12,Atom,0:05:00,1.06
2020-12-13,Overwatch,5:20:00,52.55
2020-12-13,Microsoft Edge,3:42:00,36.45
2020-12-13,Bitdefender,0:23:00,3.78
2020-12-13,Webstorm,0:14:00,2.30
2020-12-13,PyCharm,0:08:00,1.31
2020-12-14,Microsoft Edge,3:48:00,38.78
2020-12-14,Overwatch,3:26:00,35.03
2020-12-14,Webstorm,1:19:00,13.44
2020-12-14,Application Frame Host,0:39:00,6.63
2020-12-14,PyCharm,0:14:00,2.38
2020-12-15,Overwatch,0:34:00,68.00
2020-12-15,Microsoft Edge,0:03:00,6.00
2020-12-15,Wallpaper Engine,0:01:00,2.00
2020-12-15,Discord,0:01:00,2.00
2020-12-16,Overwatch,3:41:00,35.53
2020-12-16,Microsoft Edge,2:46:00,26.69
2020-12-16,Application Frame Host,1:12:00,11.58
2020-12-16,Adobe Acrobat Reader,0:10:00,1.61
2020-12-16,Discord,0:08:00,1.29
2020-12-17,Overwatch,5:25:00,53.02
2020-12-17,Microsoft Edge,1:46:00,17.29
2020-12-17,PyCharm,1:04:00,10.44
2020-12-17,Application Frame Host,0:52:00,8.48
2020-12-17,Webstorm,0:33:00,5.38
2020-12-17,SourceTree,0:09:00,1.47
2020-12-18,Overwatch,4:57:00,44.59
2020-12-18,Microsoft Edge,2:29:00,22.37
2020-12-18,Webstorm,0:50:00,7.51
2020-12-18,Application Frame Host,0:47:00,7.06
2020-12-18,PyCharm,0:28:00,4.20
2020-12-18,MySQL Workbench,0:17:00,2.55
2020-12-18,Windows Explorer,0:14:00,2.10
2020-12-18,Visual Studio 2019,0:07:00,1.05
2020-12-19,Overwatch,2:32:00,68.78
2020-12-19,Microsoft Edge,0:21:00,9.50
2020-12-19,OBS Studio,0:11:00,4.98
2020-12-19,Application Frame Host,0:05:00,2.26
2020-12-20,Overwatch,2:38:00,38.35
2020-12-20,Zoom,1:53:00,27.43
2020-12-20,Microsoft Edge,1:00:00,14.56
2020-12-20,Webstorm,0:35:00,8.50
2020-12-20,MySQL Workbench,0:09:00,2.18
2020-12-20,Application Frame Host,0:07:00,1.70
2020-12-21,Microsoft Edge,4:44:00,40.86
2020-12-21,Overwatch,2:17:00,19.71
2020-12-21,PyCharm,1:13:00,10.50
2020-12-21,Windows Explorer,0:45:00,6.47
2020-12-21,Cygwin,0:42:00,6.04
2020-12-21,Webstorm,0:24:00,3.45
2020-12-21,Application Frame Host,0:17:00,2.45
2020-12-22,Microsoft Edge,2:32:00,44.71
2020-12-22,Overwatch,2:05:00,36.76
2020-12-22,Discord,0:12:00,3.53
2020-12-22,Application Frame Host,0:11:00,3.24
2020-12-22,Battle.Net,0:04:00,1.18
2020-12-23,Visual Studio Code,1:41:00,48.79
2020-12-23,Microsoft Edge,1:35:00,45.89
2020-12-24,Overwatch,3:49:00,55.05
2020-12-24,Microsoft Edge,1:51:00,26.68
2020-12-24,Visual Studio Code,0:24:00,5.77
2020-12-24,MySQL Workbench,0:18:00,4.33
2020-12-25,Discord,1:30:00,50.28
2020-12-25,Microsoft Edge,0:26:00,14.53
2020-12-26,Microsoft Edge,5:14:00,48.53
2020-12-26,Overwatch,5:02:00,46.68
2020-12-26,Visual Studio Code,0:07:00,1.08
2020-12-27,Overwatch,0:34:00,58.62
2020-12-27,Microsoft Edge,0:19:00,32.76
2020-12-28,Microsoft Edge,1:23:00,90.22
2020-12-28,Application Frame Host,0:01:00,1.09
2020-12-29,Microsoft Edge,6:08:00,67.40
2020-12-29,Overwatch,2:29:00,27.29
2020-12-29,Windows Explorer,0:10:00,1.83
2020-12-30,Overwatch,5:34:00,57.39
2020-12-30,Microsoft Edge,2:23:00,24.57
2020-12-30,Visual Studio Code,1:34:00,16.15
2020-12-31,Microsoft Edge,3:46:00,49.02
2020-12-31,Overwatch,2:16:00,29.50
2020-12-31,Visual Studio Code,1:14:00,16.05
2021-01-01,Microsoft Edge,3:26:00,40.39
2021-01-01,Overwatch,2:33:00,30.00
2021-01-01,Visual Studio Code,1:39:00,19.41
2021-01-01,_Device_HarddiskVolume5_Users_steff_Downloads_GoogleCloudSDKInstaller_exe,0:06:00,1.18
2021-01-02,Overwatch,0:57:00,100.00
2021-01-03,Overwatch,4:03:00,69.23
2021-01-03,Microsoft Edge,1:13:00,20.80
2021-01-03,Steel Series Engine,0:05:00,1.42
2021-01-03,Battle.Net,0:05:00,1.42
2021-01-03,Application Frame Host,0:04:00,1.14
2021-01-04,Microsoft Edge,2:16:00,90.07
2021-01-04,Windows Explorer,0:09:00,5.96
2021-01-05,Microsoft Edge,2:31:00,47.94
2021-01-05,Visual Studio Code,2:17:00,43.49
2021-01-05,Overwatch,0:23:00,7.30
2021-01-06,Microsoft Edge,4:01:00,43.50
2021-01-06,Visual Studio Code,2:36:00,28.16
2021-01-06,Overwatch,2:27:00,26.53
2021-01-07,Overwatch,5:38:00,55.14
2021-01-07,Microsoft Edge,2:56:00,28.71
2021-01-07,Visual Studio Code,1:22:00,13.38
